host_acceptance_rate,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,facebook,reviews,selfie,government_id, Washer, Stove, Fire extinguisher, Dryer, Shampoo, Paid parking off premises, Dishes and silverware, First aid kit, Hot water, Shower gel, Free street parking, Air conditioning, Heating, Toaster, Host greets you, Luggage dropoff allowed, Smoke alarm, Pocket wifi, Dedicated workspace, Drying rack for clothing, Freezer, Room-darkening shades, Microwave, Iron, Wine glasses, Coffee maker, Bed linens, Hangers, Wifi, Essentials, Dining table, Ethernet connection, Lock on bedroom door, Cleaning products, Cooking basics, Cable TV, Bathtub, Refrigerator, Elevator, Paid parking on premises, Breakfast, Oven, Carbon monoxide alarm, Long term stays allowed, Hair dryer, Kitchen
0.48,10,true,true,Ibiza,Retiro,40.41816,-3.67559,Entire rental unit,Entire home/apt,5,1,1,3,104,2,1200,0,0,17,1,4.14,4.07,4.47,4.53,4.6,4.73,4.2,false,8,0.18,false,true,false,true,false,false,false,false,true,true,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,true,true,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true
0.5,1,true,true,Palos de Moguer,Arganzuela,40.40339,-3.69393,Private room in rental unit,Private room,2,1.5,1,2,49,2,30,12,66,13,3,4.83,4.83,4.5,5,5,4.92,4.75,false,1,0.2,true,true,false,true,true,true,false,true,true,false,true,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true
0.97,1,true,true,Delicias,Arganzuela,40.39236,-3.69462,Entire rental unit,Entire home/apt,4,2,2,3,90,3,60,5,55,357,15,4.7,4.78,4.73,4.83,4.9,4.71,4.68,true,1,3.55,false,true,false,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false,true,true,true,true,true
0,1,true,true,Numancia,Puente de Vallecas,40.39842,-3.667,Private room in rental unit,Private room,2,1,1,1,21,2,7,0,0,54,0,4.54,4.7,4.79,4.72,4.74,4.21,4.5,false,1,0.54,true,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true
0.57,4,true,true,Sol,Centro,40.41682,-3.70233,Entire rental unit,Entire home/apt,6,1,2,2,101,2,90,8,68,208,0,4.45,4.63,4.8,4.81,4.82,4.6,4.52,false,3,2.01,false,true,false,true,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true
0.75,2,true,true,Justicia,Centro,40.42117,-3.69746,Entire rental unit,Entire home/apt,2,1,1,4,86,4,1125,6,57,30,1,4.63,4.9,4.43,4.9,4.93,5,4.63,false,1,0.31,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,false,true,true,true
1,56,true,true,Universidad,Centro,40.422859,-3.708107,Entire rental unit,Entire home/apt,4,1,1,2,64,1,1124,27,79,375,20,4.07,4.12,4.37,4.46,4.58,4.73,4.13,true,56,3.64,false,true,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true
1,37,true,true,Justicia,Centro,40.42124,-3.69913,Entire rental unit,Entire home/apt,3,1,1,3,575,3,90,30,90,16,0,4.36,4.57,4.57,4.86,4.79,4.86,4.21,true,33,0.17,true,true,false,true,false,true,true,false,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,true
0.57,4,true,true,Sol,Centro,40.41884,-3.702,Entire rental unit,Entire home/apt,5,1,1,1,95,2,90,2,53,212,0,4.62,4.74,4.85,4.81,4.78,4.74,4.61,false,3,2.08,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false
0,1,true,true,Palos de Moguer,Arganzuela,40.40441,-3.69717,Entire rental unit,Entire home/apt,4,1,2,2,58,25,1125,1,1,49,0,4.5,4.81,4.56,4.9,4.9,4.83,4.58,false,1,0.49,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,false,true
0.75,1,true,true,Palacio,Centro,40.41239,-3.71197,Entire rental unit,Entire home/apt,2,1,1,1,87,3,1125,16,65,56,1,4.75,4.8,4.6,4.87,4.93,4.93,4.69,false,1,0.54,true,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true
1,2,true,true,Embajadores,Centro,40.40648,-3.70429,Private room in rental unit,Private room,2,1,1,1,35,2,1125,1,1,25,3,4.88,4.76,4.72,5,4.96,4.92,4.76,false,2,0.25,false,true,true,true,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,false,false,true,false,false,true,false,true,true,true
0.99,25,true,true,Palacio,Centro,40.42239,-3.70986,Entire rental unit,Entire home/apt,4,1,1,1,67,2,1125,5,57,271,12,4.66,4.81,4.89,4.8,4.79,4.86,4.72,true,24,2.64,false,true,false,true,false,false,true,false,true,true,true,false,true,true,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true
0.57,4,true,true,Sol,Centro,40.41688,-3.70384,Entire rental unit,Entire home/apt,6,1,2,2,101,2,90,1,61,195,5,4.47,4.67,4.67,4.78,4.81,4.81,4.51,false,3,1.9,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true
0.99,25,true,true,Palacio,Centro,40.42055,-3.71043,Entire rental unit,Entire home/apt,2,1,1,1,75,2,120,2,16,230,13,4.7,4.84,4.85,4.82,4.82,4.88,4.71,true,24,2.28,false,true,false,true,false,false,true,false,true,true,true,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true
0.43,2,true,true,Almagro,Chamberí,40.43831,-3.69859,Entire rental unit,Entire home/apt,5,1,2,3,93,2,30,6,7,38,3,4.42,4.5,4.61,4.63,4.61,4.74,4.34,false,2,0.37,false,true,false,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,true,true,true
0.44,1,true,true,San Juan Bautista,Ciudad Lineal,40.44656,-3.66016,Entire rental unit,Entire home/apt,3,2,2,2,80,3,1125,6,63,57,4,4.86,4.93,4.95,4.96,5,4.52,4.7,false,1,0.75,false,true,false,true,true,true,false,false,true,false,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,false,true
1,1,true,true,Casco Histórico de Vicálvaro,Vicálvaro,40.4034,-3.60575,Entire loft,Entire home/apt,4,1.5,1,3,42,2,1125,13,44,167,21,4.68,4.83,4.66,4.83,4.87,4.58,4.67,false,1,1.66,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,true,true
